0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    
0.0313953    0    0.499013 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    

0.0313953    0    0.499013 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    
0.0313333    0.00197132    0.499013 	 	  0.75    0.75    0.75    1 		   0.0626666    0.00394265    0.998027    

0    0    0.5 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0.0313333    0.00197132    0.499013 	 	  0.75    0.75    0.75    1 		   0    0    1    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    

0.0313333    0.00197132    0.499013 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    
0.0311477    0.00393487    0.499013 	 	  0.75    0.75    0.75    1 		   0.0622954    0.00786974    0.998027    

0    0    0.5 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0.0311477    0.00393487    0.499013 	 	  0.75    0.75    0.75    1 		   0    0    1    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    

0.0311477    0.00393487    0.499013 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    
0.0308392    0.00588289    0.499013 	 	  0.75    0.75    0.75    1 		   0.0616783    0.0117658    0.998027    

0    0    0.5 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0.0308392    0.00588289    0.499013 	 	  0.75    0.75    0.75    1 		   0    0    1    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    

0.0308392    0.00588289    0.499013 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    
0.0304089    0.00780768    0.499013 	 	  0.75    0.75    0.75    1 		   0.0608178    0.0156154    0.998027    

0    0    0.5 	 	  0.75    0.75    0.75    1 		   0.0627905    0    0.998027    
0.0304089    0.00780768    0.499013 	 	  0.75    0.75    0.75    1 		   0    0    1    
0    0    0.5 	 	  0.75    0.75    0.75    1 		   0    0    1    

